[2025-09-06--09-46-58 INFO actix_server::builder] starting 5 workers
[2025-09-06--09-46-58 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-09-06--09-46-58 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-09-06--09-47-00 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - An ephemeral authority account will be created and funded to write to the buffer account.
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Please save the following information in case the deployment fails and the account needs to be recovered:
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority public key: 9ViSaufs58zotjMn1LDgAq5vBBeVLkPrTRosxVppneft
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority secret key: 5FB89mkNAZ9kQ6bBrnbGuZeib35fniNyGLbvA2eTXPMV5bGAHSPRXBMbg31xMhw7kGdrg5CKphfmkwf1sUVEfDvi
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Creating program buffer account at pubkey 33MNNp1T8ZVBkR9cE9K9kbRHuJoM9tnU2FbrodrJX3xR
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2025-09-06--09-57-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46806.
[2025-09-06--09-57-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46810.
[2025-09-06--10-00-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48460.
[2025-09-06--10-00-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48476.
[2025-09-06--10-00-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48492.
[2025-09-06--10-00-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48508.
[2025-09-06--10-00-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48514.
[2025-09-06--10-00-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48528.
[2025-09-06--10-00-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48536.
[2025-09-06--10-00-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48550.
[2025-09-06--10-03-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48888.
[2025-09-06--10-03-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51138.
[2025-09-06--10-03-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51150.
[2025-09-06--10-03-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51166.
[2025-09-06--10-03-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51176.
[2025-09-06--10-03-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51182.
[2025-09-06--10-03-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51190.
[2025-09-06--10-06-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50938.
[2025-09-06--10-06-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50940.
[2025-09-06--10-06-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50948.
[2025-09-06--10-06-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50950.
[2025-09-06--10-06-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50966.
[2025-09-06--10-06-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50970.
[2025-09-06--10-06-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50976.
[2025-09-06--10-08-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42038.
[2025-09-06--10-08-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42042.
[2025-09-06--10-08-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42044.
[2025-09-06--10-08-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42368.
[2025-09-06--10-08-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42380.
[2025-09-06--10-08-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42382.
[2025-09-06--10-08-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42396.
[2025-09-06--10-08-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42412.
[2025-09-06--10-09-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48746.
[2025-09-06--10-09-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48758.
[2025-09-06--10-10-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48764.
[2025-09-06--10-10-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48780.
[2025-09-06--10-10-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48794.
[2025-09-06--10-10-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48806.
[2025-09-06--10-10-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48810.
[2025-09-06--10-10-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59554.
[2025-09-06--10-10-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59568.
[2025-09-06--10-10-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41992.
[2025-09-06--10-10-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42004.
[2025-09-06--10-10-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42016.
[2025-09-06--10-10-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42024.
[2025-09-06--10-10-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42034.
[2025-09-06--10-10-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43694.
[2025-09-06--10-10-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43698.
[2025-09-06--10-13-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47988.
[2025-09-06--10-13-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47994.
[2025-09-06--10-13-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47998.
[2025-09-06--10-13-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48012.
[2025-09-06--10-13-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38820.
[2025-09-06--10-13-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38822.
[2025-09-06--10-13-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38832.
[2025-09-06--10-14-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39100.
[2025-09-06--10-14-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39112.
[2025-09-06--10-14-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39116.
[2025-09-06--10-14-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39130.
[2025-09-06--10-14-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43092.
[2025-09-06--10-14-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43102.
[2025-09-06--10-14-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43110.
[2025-09-06--10-16-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57532.
[2025-09-06--10-16-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57544.
[2025-09-06--10-16-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57560.
[2025-09-06--10-16-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57572.
[2025-09-06--10-16-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41244.
[2025-09-06--10-16-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41258.
[2025-09-06--10-16-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41262.
[2025-09-06--10-26-19 INFO actix_server::worker] shutting down idle worker
[2025-09-06--10-26-19 INFO actix_server::accept] accept thread stopped
[2025-09-06--10-26-19 INFO actix_server::worker] shutting down idle worker
[2025-09-06--10-26-19 INFO actix_server::worker] shutting down idle worker
[2025-09-06--10-26-19 INFO actix_server::worker] shutting down idle worker
[2025-09-06--10-26-19 INFO actix_server::worker] shutting down idle worker
